Fonte,Termo,Título,Link
G1,CPI das BETs,"Virgínia Fonseca faz 'publi' após CPI das Bets... gerou crítica nas redes. 
Initial plugin text
NaCPIdasBets, a influenciadora Virginia Fonseca foi questionada pelos senadores...—... Instagram pouco após deixar a Comissão Parlamentar de Inquérito (CPI) das Apostas Esportivas, na tarde desta terça-feira (13...há 21 horas",//g1.globo.com/busca/click?q=cpi+das+bets+CPI+das+BETs&p=1&r=1748036079261&u=https%3A%2F%2Fg1.globo.com%2Fpop-arte%2Fnoticia%2F2025%2F05%2F13%2Fvirginia-fonseca-faz-publi-apos-cpi-das-bets.ghtml&syn=False&key=db0c7017493521f86792b05fbec40f1e
G1,CPI das BETs,"CPI das Bets convoca influenciador Carlinhos Maia e pede anális...ACPIdasBetsno Senado aprovou nesta quarta-feira (21) a convocação do influenciador digital Carlinhos Maia. Ele será ouvido...—... como testemunha pela comissão.
O requerimento, de autoria da relatora daCPI, Soraya Thronicke (Podemos-MS), menciona os mais de 34...há 21 horas",//g1.globo.com/busca/click?q=cpi+das+bets+CPI+das+BETs&p=3&r=1748036079264&u=https%3A%2F%2Fg1.globo.com%2Fpolitica%2Fnoticia%2F2025%2F05%2F21%2Fcpi-das-bets-convoca-influenciador-carlinhos-maia-e-pede-analise-de-financas-de-virginia-fonseca.ghtml&syn=False&key=30b4eac9f798ec806f85adfba9fbcb89
G1,CPI das BETs,"Entenda em 5 pontos por que Virgínia foi à CPI das Bets e o que...'Não fiquei milionária combets', diz Virgínia Fonseca emCPIA influenciadora digital Virgínia Fonseca prestou depoimento nesta...—... terça-feira (13) à Comissão Parlamentar de Inquérito (CPI) dasBets, no Senado. 
Convocada como testemunha, ela foi questionada...há 21 horas",//g1.globo.com/busca/click?q=cpi+das+bets+CPI+das+BETs&p=4&r=1748036079266&u=https%3A%2F%2Fg1.globo.com%2Fpolitica%2Fnoticia%2F2025%2F05%2F13%2Fentenda-em-5-pontos-por-que-virginia-foi-a-cpi-das-bets-e-o-que-ela-disse.ghtml&syn=False&key=42c21259d4c94f6e159f19ba9fb69735
G1,CPI das BETs,"À CPI das Bets, influenciadora Virginia Fonseca diz não se arre...Influenciadora Virginia Fonseca chega para depor àCPIdasBetsno Senado
A influenciadora Virginia Fonseca disse nesta terça...—...-feira (13) à Comissão Parlamentar de Inquérito (CPI) dasBetsque não se arrepende dos anúncios que fez para empresas de apostas...há 21 horas",//g1.globo.com/busca/click?q=cpi+das+bets+CPI+das+BETs&p=5&r=1748036079268&u=https%3A%2F%2Fg1.globo.com%2Fpolitica%2Fnoticia%2F2025%2F05%2F13%2Fa-cpi-das-bets-influenciadora-virginia-fonseca-diz-nao-se-arrepender-de-propagandas-e-nao-ter-como-socorrer-seguidores.ghtml&syn=False&key=b35c53a902420423a51b09274b498751
G1,CPI das BETs,"Depoimento de Virginia Fonseca na CPI das BetsDepoimento de Virginia Fonseca naCPIdasBetsInfluenciadora foi convidada como testemunha e justificou que sempre coloca...—... alertas sobre jogo responsável em seus anúncios. Influenciadora Virginia Fonseca prestou depoimento  àCPIdasBets, negou 'cláusula...13/05/2025 18h04",//g1.globo.com/busca/click?q=cpi+das+bets+CPI+das+BETs&p=15&r=1748036079286&u=https%3A%2F%2Fg1.globo.com%2Fpolitica%2Fao-vivo%2Fcpi-bets-ouve-influenciadora-virginia-fonseca.ghtml&syn=False&key=37fa133d169d6eb75ac6ad36025027de
G1,cassino online,"Virgínia Fonseca faz 'publi' após CPI das Bets... gerou crítica nas redes. 
Initial plugin text
NaCPIdasBets, a influenciadora Virginia Fonseca foi questionada pelos senadores...—... daCPIa respeito dos contratos e dos trabalhos de influenciadores para promover casas de apostas e jogos de azaronline.
Ao longo...há 21 horas",//g1.globo.com/busca/click?q=cpi+das+bets+cassino+online&p=1&r=1748036080328&u=https%3A%2F%2Fg1.globo.com%2Fpop-arte%2Fnoticia%2F2025%2F05%2F13%2Fvirginia-fonseca-faz-publi-apos-cpi-das-bets.ghtml&syn=False&key=2ca20dd0f31183f0192b947d97e82f9a
G1,cassino online,"À CPI das Bets, influenciadora Virginia Fonseca diz não se arre...... em novembro passado, aCPIinvestiga:
a influência das apostasonlineno orçamento das famílias brasileiras;
a possível associação dasbets...—Influenciadora Virginia Fonseca chega para depor àCPIdasBetsno Senado
A influenciadora Virginia Fonseca disse nesta terça...há 21 horas",//g1.globo.com/busca/click?q=cpi+das+bets+cassino+online&p=5&r=1748036080335&u=https%3A%2F%2Fg1.globo.com%2Fpolitica%2Fnoticia%2F2025%2F05%2F13%2Fa-cpi-das-bets-influenciadora-virginia-fonseca-diz-nao-se-arrepender-de-propagandas-e-nao-ter-como-socorrer-seguidores.ghtml&syn=False&key=fc216124f274fa1755d038c5db99d5e7
G1,cassino online,"Virginia na CPI das Bets: moletom com foto da filha e falas da ...A relatora daCPIdasBets, senadora Soraya Thronicke (Podemos-MS), e o presidente da Comissão, senador Dr. Hiran (PP-RR), ouvem...—... Fonseca foi o assunto mais comentado da internet na tarde desta terça-feira (13). Ela prestou depoimento naCPIdasBetse chamou...13/05/2025 19h39",//g1.globo.com/busca/click?q=cpi+das+bets+cassino+online&p=13&r=1748036080348&u=https%3A%2F%2Fg1.globo.com%2Fgo%2Fgoias%2Fnoticia%2F2025%2F05%2F13%2Fvirginia-na-cpi-das-bets-moletom-com-foto-da-filha-e-falas-da-influenciadora-em-depoimento-sao-os-assuntos-mais-comentados-das-redes-sociais.ghtml&syn=False&key=83ef18eabb26aef5824faf066ea9f4cc
G1,cassino online,"Senador pede 'selfie' com Virginia Fonseca durante CPI das BetsSenador interrompeCPIdasBetspara tirar foto com Virgínia Fonseca
Durante a sessão da Comissão Parlamentar de Inquérito (CPI...—... com Virgínia Fonseca duranteCPIdasbetsReprodução/TV Senado
Convocação
Virginia Fonseca foi convocada a depor em dezembro do ano passado...13/05/2025 15h57",//g1.globo.com/busca/click?q=cpi+das+bets+cassino+online&p=14&r=1748036080350&u=https%3A%2F%2Fg1.globo.com%2Fpolitica%2Fnoticia%2F2025%2F05%2F13%2Fsenador-pede-foto-selfie-com-virgilia-fonseca-durante-cpi-das-bets.ghtml&syn=False&key=014edb5d60e621a2b5c2728bf878728a
G1,apostas esportivas,"Virgínia Fonseca faz 'publi' após CPI das Bets... Instagram pouco após deixar a Comissão Parlamentar de Inquérito (CPI) dasApostasEsportivas, na tarde desta terça-feira (13...—... gerou crítica nas redes. 
Initial plugin text
NaCPIdasBets, a influenciadora Virginia Fonseca foi questionada pelos senadores...há 20 horas",//g1.globo.com/busca/click?q=cpi+das+bets+apostas+esportivas&p=1&r=1748035374124&u=https%3A%2F%2Fg1.globo.com%2Fpop-arte%2Fnoticia%2F2025%2F05%2F13%2Fvirginia-fonseca-faz-publi-apos-cpi-das-bets.ghtml&syn=False&key=5c1220138badce09c7f9644988ab3a5a
